date,exam,event,event_type,exam_url
2026-08-06,JAC Chandigarh,Special Round: JAC Chandigarh 2026 Display of final list of Eligible candidates for filling of choices in Special Round,examPageEvent,https://www.shiksha.com/b-tech/jac-chandigarh-counselling
2026-08-06,JAC Chandigarh,"Special Round: JAC Chandigarh 2026 Special Round participation fee submission, choice submission and locking",examPageEvent,https://www.shiksha.com/b-tech/jac-chandigarh-counselling
2026-08-06,KEAM,KEAM 2026: College joining date,examPageEvent,https://www.shiksha.com/engineering/keam-exam
2026-08-06,REAP,REAP 2026 Round 7: Last date to settlement of queries/objections online between institute & candidate and finalization of candidate’s reporting status (Upward-I for Rajasthan State Candidates only),examPageEvent,https://www.shiksha.com/b-tech/reap-counselling
2026-08-07,COMEDK UGET,COMEDK 2026 Counselling: Round 2 Seat Allotment,examPageEvent,https://www.shiksha.com/engineering/comedk-uget-exam
2026-08-07,COMEDK UGET,COMEDK 2026 Counselling: Round 2 Decision Making & Fee Payment,examPageEvent,https://www.shiksha.com/engineering/comedk-uget-exam
2026-08-07,COMEDK UGET,COMEDK 2026 Counselling: Round 2 Report to College,examPageEvent,https://www.shiksha.com/engineering/comedk-uget-exam
2026-08-07,COMEDK UGET,COMEDK 2026 Counselling: Round 2 Seat Withdrawal,examPageEvent,https://www.shiksha.com/engineering/comedk-uget-exam
2026-08-07,CUSAT CAT,CUSAT CAT 2026 B.Tech Third Real Time Admission Registration,examPageEvent,https://www.shiksha.com/engineering/cusat-cat-exam
2026-08-07,MHT CET,MHT CET 2026 CAP Round 2 Option Entry,examPageEvent,https://www.shiksha.com/engineering/mht-cet-exam
2026-08-07,REAP,REAP 2026 Round 8: Last date to apply for Upward movement (Upward-II Rajasthan State Candidates only),examPageEvent,https://www.shiksha.com/b-tech/reap-counselling
2026-08-07,TNEA,TNEA 2026 General Counselling Round 2: RELEASE OF TENTATIVE ALLOTMENT,examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-07,TNEA,TNEA 2026 General Counselling Round 2: TENTATIVE ALLOTMENT CONFIRMATION,examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-08,JAC Chandigarh,Special Round: JAC Chandigarh 2026 Special Round of seat allotment,examPageEvent,https://www.shiksha.com/b-tech/jac-chandigarh-counselling
2026-08-08,REAP,REAP 2026 Round 8: Seat Allotment upward (Upward-II Rajasthan State Candidates only),examPageEvent,https://www.shiksha.com/b-tech/reap-counselling
2026-08-08,REAP,"REAP 2026 Round 8: Settlement of queries, original document verification and final physical reporting",examPageEvent,https://www.shiksha.com/b-tech/reap-counselling
2026-08-08,SEE,SEE Exam Date 2026 Phase 10,examPageEvent,https://www.shiksha.com/exams/see-exam
2026-08-08,UPTAC,UPTAC Counselling 2026 Allotment for Internal Sliding in Colleges - Round 5,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-08,UPTAC,UPTAC Counselling 2026 Seat vacancy For Special Round - Round 5,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-09,AP EAMCET,First Phase Seat Allotment Results,examPageEvent,https://www.shiksha.com/engineering/ap-eamcet-exam
2026-08-09,CG PET,CG PET 2026 counselling merit list - Institutional level,examPageEvent,https://www.shiksha.com/engineering/cg-pet-exam
2026-08-09,CSAB,CSAB NEUT Counselling 2026: Round 2 seat allotment,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-09,TNEA,TNEA 2026 General Counselling Round 2: RELEASE OF PROVISIONAL ALLOTMENT FOR ACCEPT & JOIN CANDIDATES AND TENTATIVE ALLOTMENT FOR ACCEPT & UPWARD CANDIDATES,examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-09,TNEA,TNEA 2026 General Counselling Round 2: JOINING DATES FOR ACCEPT & JOIN CANDIDATES IN COLLEGES AND REPORTING DATES FOR ACCEPT & UPWARD CANDIDATES IN TNEA FACILITATION CENTER (TFC),examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-09,UPTAC,UPTAC Counselling 2026 Payment of Fee - Special Round 1,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-09,UPTAC,UPTAC Counselling 2026 Document Verification - Special Round 1,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-09,UPTAC,UPTAC Counselling 2026 Choice Filling - Special Round 1,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-09,UPTAC,UPTAC Counselling 2026 Registration special round 1 phase 2,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-10,AP EAMCET,Self-Reporting and College Reporting,examPageEvent,https://www.shiksha.com/engineering/ap-eamcet-exam
2026-08-10,AP EAMCET,Commencement of Classes,examPageEvent,https://www.shiksha.com/engineering/ap-eamcet-exam
2026-08-10,AUEET,AUEET 2026 Seat Allotment - Round 3,examPageEvent,https://www.shiksha.com/university/andhra-university-visakhapatnam/aueet-exam
2026-08-10,BITSAT,BITSAT 2026 Iteration-VI Announcement,examPageEvent,https://www.shiksha.com/engineering/bitsat-exam
2026-08-10,CSAB,CSAB NEUT Counselling 2026: Round 2 online reporting,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-10,JAC Chandigarh,Special Round: JAC Chandigarh 2026 Withdrawal after Special Round Allotment,examPageEvent,https://www.shiksha.com/b-tech/jac-chandigarh-counselling
2026-08-10,JAC Chandigarh,Spot Round: JAC Chandigarh 2026 Display of List of vacant seats,examPageEvent,https://www.shiksha.com/b-tech/jac-chandigarh-counselling
2026-08-10,JAC Chandigarh,"Spot Round: JAC Chandigarh 2026 Spot Round participation fee submission, choice submission and locking",examPageEvent,https://www.shiksha.com/b-tech/jac-chandigarh-counselling
2026-08-10,RBUSET,RBUSET 2026 Application Form Last Date,examPageEvent,https://www.shiksha.com/engineering/rbuset-exam
2026-08-10,REAP,REAP 2026 Round 8: Last Date of online reporting upward (Upward-II Rajasthan State Candidates only),examPageEvent,https://www.shiksha.com/b-tech/reap-counselling
2026-08-10,UPCATET,UPCATET 2026 Online Counselling Round 2 Except BVSc & AH: Registration & Fee,examPageEvent,https://www.shiksha.com/science/upcatet-exam
2026-08-11,CSAB,CSAB Special Counselling 2026: Round 1 Last day to respond to the queries of Document Verifying Officer,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-11,CUSAT CAT,CUSAT CAT 2026 B.Tech Third Real Time Admission Starts,examPageEvent,https://www.shiksha.com/engineering/cusat-cat-exam
2026-08-12,CSAB,CSAB Special Counselling 2026: Round 2 Seat Allotment,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-12,CSAB,CSAB Special Counselling 2026: Round 2 Exercise Willingness and Online Reporting,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-12,DASA UG,DASA 2026 Seat Allotment Round 2,examPageEvent,https://www.shiksha.com/b-tech/dasa-ug-counselling
2026-08-12,JLEE,Assam JLEE 2026 result,examPageEvent,https://www.shiksha.com/engineering/jlee-exam
2026-08-12,MHT CET,MHT CET 2026 CAP Round 2 Allotment Result,examPageEvent,https://www.shiksha.com/engineering/mht-cet-exam
2026-08-12,REAP,REAP 2026 Round 9: Round 9 th (Direct Admission on vacant seats and Management Quota Admission at institute level),examPageEvent,https://www.shiksha.com/b-tech/reap-counselling
2026-08-12,TS EAMCET,TS EAMCET 2026 MPC Counselling - Internal Sliding Round,examPageEvent,https://www.shiksha.com/engineering/ts-eamcet-exam
2026-08-12,UPCATET,UPCATET 2026 Counselling Round 2: Choice Filling & Choice Locking Round 2 Except BVSc & AH,examPageEvent,https://www.shiksha.com/science/upcatet-exam
2026-08-13,CSAB,CSAB NEUT Counselling 2026: Round 2 Seat Withdrawal,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-13,CSAB,CSAB Special Counselling 2026: Physical reporting and Balance Fee Payment,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-13,JAC Chandigarh,Spot Round: JAC Chandigarh 2026 Spot Round Seat allotment,examPageEvent,https://www.shiksha.com/b-tech/jac-chandigarh-counselling
2026-08-13,UPTAC,UPTAC Counselling 2026 Seat Allotment - Special Round 1,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-13,UPTAC,UPTAC Counselling 2026 Seat vacancy For Special Round 2,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-14,BITSAT,BITSAT 2026 Iteration-VI fee payment deadline,examPageEvent,https://www.shiksha.com/engineering/bitsat-exam
2026-08-14,CUSAT CAT,CUSAT CAT 2026 SC/ST Special Real Time Admission,examPageEvent,https://www.shiksha.com/engineering/cusat-cat-exam
2026-08-14,UPTAC,UPTAC Counselling 2026 Physical Reporting - Special Round 1,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-17,CSAB,CSAB Special Counselling 2026: Round 2 Last day to respond to the queries of Document Verifying Officer,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-17,OUAT Entrance Exam,OUAT Entrance Exam 2026 Counselling,examPageEvent,https://www.shiksha.com/science/ouat-entrance-exam
2026-08-17,TNEA,TNEA 2026 General Counselling Round 2: RELEASE OF PROVISIONA L ALLOTMENT FOR UPWARD OPTED CANDIDATES,examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-17,TNEA,TNEA 2026 General Counselling Round 3: CHOICE FILLING,examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-18,BITSAT,BITSAT 2026 Iteration-VII Announcement,examPageEvent,https://www.shiksha.com/engineering/bitsat-exam
2026-08-18,CEE AMPAI,CEE AMPAI 2026 Exam Date,examPageEvent,https://www.shiksha.com/engineering/cee-ampai-exam
2026-08-18,JAC Chandigarh,"Spot Round: JAC Chandigarh 2026 Spot Round Physical reporting, Documents verification and payment of other charges",examPageEvent,https://www.shiksha.com/b-tech/jac-chandigarh-counselling
2026-08-19,IUCET,IUCET 2026 Exam,examPageEvent,https://www.shiksha.com/exams/iucet-exam
2026-08-19,JLEE,Document Upload and Choice Filling and Depositing Counselling Fee,examPageEvent,https://www.shiksha.com/engineering/jlee-exam
2026-08-19,MHT CET,MHT CET 2026 CAP Round 3 Option Entry,examPageEvent,https://www.shiksha.com/engineering/mht-cet-exam
2026-08-19,UPCATET,UPCATET 2026 Result Allocation for Round 2 - Except BVSc & AH,examPageEvent,https://www.shiksha.com/science/upcatet-exam
2026-08-19,UPCATET,UPCATET 2026 Counselling Round 2: Document uploading except BVSc & AH,examPageEvent,https://www.shiksha.com/science/upcatet-exam
2026-08-20,CSAB,CSAB NEUT Counselling 2026: Spot Round (if any),examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-20,UPCATET,UPCATET 2026 Counselling Round 2: Security Fee Submit except BVSc & AH,examPageEvent,https://www.shiksha.com/science/upcatet-exam
2026-08-21,BITSAT,BITSAT 2026 Iteration-VII fee payment deadline,examPageEvent,https://www.shiksha.com/engineering/bitsat-exam
2026-08-21,IUCET,IUCET 2026 Result,examPageEvent,https://www.shiksha.com/exams/iucet-exam
2026-08-21,TNEA,TNEA 2026 General Counselling Round 3: RELEASE OF TENTATIVE ALLOTMENT,examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-21,TNEA,TNEA 2026 General Counselling Round 3: TENTATIVE ALLOTMENT CONFIRMATION,examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-21,TNEA,TNEA 2026 Supplementary Counselling (Online),examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-22,SAT India,SAT India Exam (August) Attempt,examPageEvent,https://www.shiksha.com/exams/sat-india-exam
2026-08-22,UPCATET,UPCATET 2026 Counselling Round 2: Reporting at University except BVSc & AH,examPageEvent,https://www.shiksha.com/science/upcatet-exam
2026-08-23,TNEA,TNEA 2026 General Counselling Round 3: RELEASE OF PROVISIONAL ALLOTMENT FOR ACCEPT & JOIN CANDIDATES AND TENTATIVE ALLOTMENT FOR ACCEPT & UPWARD CANDIDATES,examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-23,TNEA,TNEA 2026 General Counselling Round 3: JOINING DATES FOR ACCEPT & JOIN CANDIDATES IN COLLEGES AND REPORTING DATES FOR ACCEPT & UPWARD CANDIDATES IN TNEA FACILITATION CENTER (TFC),examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-24,CSAB,"CSAB Supernumerary Counselling 2026: Registration, Choice Filling, and Online Verification of PwD Candidates",examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-24,MHT CET,MHT CET 2026 CAP Round 3 Allotment Result,examPageEvent,https://www.shiksha.com/engineering/mht-cet-exam
2026-08-25,TNEA,TNEA 2026 SCA to SC Counselling (Online),examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-27,CSAB,CSAB Supernumerary Counselling 2026: CSAB Supernumerary Counselling 2025: Display of Seat Allotment Result–Supernumerary Round,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-27,CSAB,"CSAB Supernumerary Counselling 2026: Document upload and Supernumerary Seat Acceptance Fee (SSAF) payment, and ⋆Online Verification of PwD Candidates",examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-27,CSAB,CSAB Supernumerary Counselling 2026: Physical Reporting at Allotted Institutes by all candidates who have confirmed their seats through CSAB 2025 Supernumerary Round,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-27,JLEE,1st Seat Allotment,examPageEvent,https://www.shiksha.com/engineering/jlee-exam
2026-08-29,CSAB,CSAB Supernumerary Counselling 2026: Resolution of SSAF Payment Issues for Candidates who have made SSAF Payment Attempts before the payment deadline. Last day to respond to queries,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-29,MHT CET,MHT CET 2026 CAP Round 4 Option Entry,examPageEvent,https://www.shiksha.com/engineering/mht-cet-exam
2026-08-29,UPCATET,UPCATET 2026 Online Counselling Round 3 for UG,examPageEvent,https://www.shiksha.com/science/upcatet-exam
2026-08-30,SSU CET,Last date of SSU CET 2026 Admissions,examPageEvent,https://www.shiksha.com/mba/ssu-cet-exam
2026-08-31,TNEA,TNEA 2026 General Counselling Round 3: RELEASE OF PROVISIONA L ALLOTMENT FOR UPWARD OPTED CANDIDATES,examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-31,UPCATET,UPCATET 2026 Counselling Round 3: Choice Filling,examPageEvent,https://www.shiksha.com/science/upcatet-exam
